"date","avg_temp","max_temp","min_temp","supply_mj","supply_m3"
"2013-01-01","-2.6","3.7","-9.1","214402672.0",""
"2013-01-02","-3.9","0.5","-8.4","248025600.0",""
"2013-01-03","-7.8","-4.2","-10.4","279020541.0",""
"2013-01-04","-5.9","0.0","-11.6","274729183.0",""
"2013-01-05","-3.5","2.1","-10.3","257069915.0",""
"2013-01-06","-1.0","3.7","-4.4","227081613.0",""
"2013-01-07","-1.1","4.6","-7.4","247143979.0",""
"2013-01-08","-0.4","4.5","-6.1","246375950.0",""
"2013-01-09","-3.2","0.4","-6.3","255154786.0",""
"2013-01-10","-4.2","0.2","-7.6","259512428.0",""
"2013-01-11","-2.4","4.5","-9.7","253905464.0",""
"2013-01-12","2.3","9.2","-4.2","225437315.0",""
"2013-01-13","1.0","3.3","-2.5","206680353.0",""
"2013-01-14","2.5","7.5","-1.3","222099784.0",""
"2013-01-15","0.9","6.9","-3.8","227758605.0",""
"2013-01-16","1.6","7.2","-2.1","227864965.0",""
"2013-01-17","-0.8","3.6","-3.7","237212710.0",""
"2013-01-18","-0.6","5.0","-5.3","237278212.0",""
"2013-01-19","1.4","7.2","-3.3","219040125.0",""
"2013-01-20","2.7","7.7","-2.8","197746984.0",""
"2013-01-21","4.4","5.9","2.8","215377976.0",""
"2013-01-22","5.0","6.8","3.5","211121521.0",""
"2013-01-23","3.9","5.3","2.9","209028926.0",""
"2013-01-24","2.2","7.2","-1.0","212615389.0",""
"2013-01-25","-2.5","1.4","-4.6","234813878.0",""
"2013-01-26","-3.6","0.8","-6.8","229792428.0",""
"2013-01-27","-3.4","0.6","-6.8","218568450.0",""
"2013-01-28","-0.1","6.6","-5.3","233658713.0",""
"2013-01-29","2.8","9.5","-2.7","224900794.0",""
"2013-01-30","5.0","12.5","-1.1","212102365.0",""
"2013-01-31","6.9","13.4","0.6","199682825.0",""
"2013-02-01","9.9","12.9","6.4","188926728.0",""
"2013-02-02","6.2","11.3","1.0","175292965.0",""
"2013-02-03","1.3","3.7","-2.3","178674761.0",""
"2013-02-04","2.9","7.8","0.1","201604218.0",""
"2013-02-05","1.7","4.5","-1.3","214900015.0",""
"2013-02-06","3.1","6.9","0.0","212408204.0",""
"2013-02-07","-4.2","0.8","-9.7","242971270.0",""
"2013-02-08","-6.5","-0.5","-12.5","259762272.0",""
"2013-02-09","-2.8","2.0","-6.5","225051136.0",""
"2013-02-10","0.2","6.4","-4.4","181684957.0",""
"2013-02-11","-0.1","5.2","-4.3","189837767.0",""
"2013-02-12","-0.5","1.8","-1.7","209499941.0",""
"2013-02-13","1.2","6.8","-3.4","220478446.0",""
"2013-02-14","4.4","9.4","-0.9","215232214.0",""
"2013-02-15","3.7","8.3","-1.8","209965852.0",""
"2013-02-16","0.5","6.3","-4.2","208537837.0",""
"2013-02-17","2.3","6.1","-1.6","191934943.0",""
"2013-02-18","4.5","8.3","2.4","203732303.0",""
"2013-02-19","1.8","6.6","-1.8","214419565.0",""
"2013-02-20","0.0","5.2","-4.4","222771194.0",""
"2013-02-21","2.2","7.0","-1.7","214592147.0",""
"2013-02-22","3.2","7.8","-1.6","212502750.0",""
"2013-02-23","1.8","6.3","-2.4","204629820.0",""
"2013-02-24","4.4","10.2","-0.1","178527340.0",""
"2013-02-25","5.5","12.0","-0.5","192637819.0",""
"2013-02-26","5.8","11.3","1.2","194927495.0",""
"2013-02-27","9.2","15.3","3.2","181999835.0",""
"2013-02-28","10.7","19.4","1.6","169207142.0",""
"2013-03-01","7.2","12.9","-0.4","166917488.0",""
"2013-03-02","2.1","7.8","-2.3","177228604.0",""
"2013-03-03","3.5","9.5","-2.1","162555454.0",""
"2013-03-04","5.9","12.6","-0.9","184295732.0",""
"2013-03-05","8.5","15.7","0.9","180082545.0",""
"2013-03-06","9.9","19.0","1.2","172352341.0",""
"2013-03-07","12.9","17.8","7.4","161137221.0",""
"2013-03-08","13.7","22.2","5.0","151387624.0",""
"2013-03-09","17.1","26.9","6.4","130539553.0",""
"2013-03-10","10.9","20.9","4.7","115717885.0",""
"2013-03-11","7.6","15.0","0.0","147003192.0",""
"2013-03-12","12.1","19.6","2.8","148076811.0",""
"2013-03-13","10.1","16.0","3.6","151856093.0",""
"2013-03-14","6.2","10.6","3.7","164768608.0",""
"2013-03-15","9.0","16.4","2.1","160159119.0",""
"2013-03-16","11.5","19.1","6.0","142597997.0",""
"2013-03-17","11.3","20.4","3.2","123365760.0",""
"2013-03-18","13.5","20.0","9.3","134222309.0",""
"2013-03-19","14.6","21.3","7.7","134284702.0",""
"2013-03-20","9.2","15.2","0.5","146925179.0",""
"2013-03-21","5.0","12.5","-2.0","162923870.0",""
"2013-03-22","8.2","13.8","2.6","158088121.0",""
"2013-03-23","9.8","16.5","4.2","143368616.0",""
"2013-03-24","10.2","16.0","5.5","125916783.0",""
"2013-03-25","7.1","12.2","3.2","152477091.0",""
"2013-03-26","8.1","16.1","0.0","156073472.0",""
"2013-03-27","12.8","19.9","4.4","144700717.0",""
"2013-03-28","15.0","21.8","9.3","135095808.0",""
"2013-03-29","10.6","16.3","6.7","138021406.0",""
"2013-03-30","9.5","15.3","3.8","133433929.0",""
"2013-03-31","9.8","16.1","6.6","117667207.0",""
"2013-04-01","11.2","19.6","3.4","136327512.0",""
"2013-04-02","10.2","18.6","7.1","143472646.0",""
"2013-04-03","13.9","21.8","7.3","136796309.0",""
"2013-04-04","14.6","21.9","10.5","130088909.0",""
"2013-04-05","14.6","21.3","6.9","124921310.0",""
"2013-04-06","10.8","13.8","4.8","128469989.0",""
"2013-04-07","7.0","12.0","4.2","123221181.0",""
"2013-04-08","11.2","19.0","3.0","137362175.0",""
"2013-04-09","10.5","15.4","6.6","145017993.0",""
"2013-04-10","6.9","10.9","3.7","154996735.0",""
"2013-04-11","8.3","14.5","1.0","154729095.0",""
"2013-04-12","9.2","14.6","4.0","148957582.0",""
"2013-04-13","13.1","21.9","3.3","135590447.0",""
"2013-04-14","14.8","21.0","7.6","111468065.0",""
"2013-04-15","10.1","16.2","4.6","135917270.0",""
"2013-04-16","18.3","28.4","7.4","125837876.0",""
"2013-04-17","10.3","19.1","9.2","136150675.0",""
"2013-04-18","13.5","22.5","9.0","130522834.0",""
"2013-04-19","10.8","15.9","6.8","133941758.0",""
"2013-04-20","6.7","8.9","5.0","142874590.0",""
"2013-04-21","10.5","16.7","5.0","118649304.0",""
"2013-04-22","13.7","21.0","4.2","129228158.0",""
"2013-04-23","10.8","14.3","8.9","142220501.0",""
"2013-04-24","15.9","21.8","10.6","127023405.0",""
"2013-04-25","13.9","21.3","8.8","126222819.0",""
"2013-04-26","13.9","18.9","8.9","126728816.0",""
"2013-04-27","14.1","21.8","7.6","117418657.0",""
"2013-04-28","16.7","24.5","8.3","96428251.0",""
"2013-04-29","16.3","20.0","11.9","113272635.0",""
"2013-04-30","16.4","24.9","8.5","112438790.0",""
"2013-05-01","12.9","17.4","10.8","110446238.0",""
