date	avg_temp	max_temp	min_temp	supply_mj	supply_m3
2013-01-01	-2.6	3.7	-9.1	214402672	
2013-01-02	-3.9	0.5	-8.4	248025600	
2013-01-03	-7.8	-4.2	-10.4	279020541	
2013-01-04	-5.9	0	-11.6	274729183	
2013-01-05	-3.5	2.1	-10.3	257069915	
2013-01-06	-1	3.7	-4.4	227081613	
2013-01-07	-1.1	4.6	-7.4	247143979	
2013-01-08	-0.4	4.5	-6.1	246375950	
2013-01-09	-3.2	0.4	-6.3	255154786	
2013-01-10	-4.2	0.2	-7.6	259512428	
2013-01-11	-2.4	4.5	-9.7	253905464	
2013-01-12	2.3	9.2	-4.2	225437315	
2013-01-13	1	3.3	-2.5	206680353	
2013-01-14	2.5	7.5	-1.3	222099784	
2013-01-15	0.9	6.9	-3.8	227758605	
2013-01-16	1.6	7.2	-2.1	227864965	
2013-01-17	-0.8	3.6	-3.7	237212710	
2013-01-18	-0.6	5	-5.3	237278212	
2013-01-19	1.4	7.2	-3.3	219040125	
2013-01-20	2.7	7.7	-2.8	197746984	
2013-01-21	4.4	5.9	2.8	215377976	
2013-01-22	5	6.8	3.5	211121521	
2013-01-23	3.9	5.3	2.9	209028926	
2013-01-24	2.2	7.2	-1	212615389	
2013-01-25	-2.5	1.4	-4.6	234813878	
2013-01-26	-3.6	0.8	-6.8	229792428	
2013-01-27	-3.4	0.6	-6.8	218568450	
2013-01-28	-0.1	6.6	-5.3	233658713	
2013-01-29	2.8	9.5	-2.7	224900794	
2013-01-30	5	12.5	-1.1	212102365	
2013-01-31	6.9	13.4	0.6	199682825	
2013-02-01	9.9	12.9	6.4	188926728	
2013-02-02	6.2	11.3	1	175292965	
2013-02-03	1.3	3.7	-2.3	178674761	
2013-02-04	2.9	7.8	0.1	201604218	
2013-02-05	1.7	4.5	-1.3	214900015	
2013-02-06	3.1	6.9	0	212408204	
2013-02-07	-4.2	0.8	-9.7	242971270	
2013-02-08	-6.5	-0.5	-12.5	259762272	
2013-02-09	-2.8	2	-6.5	225051136	
2013-02-10	0.2	6.4	-4.4	181684957	
2013-02-11	-0.1	5.2	-4.3	189837767	
2013-02-12	-0.5	1.8	-1.7	209499941	
2013-02-13	1.2	6.8	-3.4	220478446	
2013-02-14	4.4	9.4	-0.9	215232214	
2013-02-15	3.7	8.3	-1.8	209965852	
2013-02-16	0.5	6.3	-4.2	208537837	
2013-02-17	2.3	6.1	-1.6	191934943	
2013-02-18	4.5	8.3	2.4	203732303	
2013-02-19	1.8	6.6	-1.8	214419565	
2013-02-20	0	5.2	-4.4	222771194	
2013-02-21	2.2	7	-1.7	214592147	
2013-02-22	3.2	7.8	-1.6	212502750	
2013-02-23	1.8	6.3	-2.4	204629820	
2013-02-24	4.4	10.2	-0.1	178527340	
2013-02-25	5.5	12	-0.5	192637819	
2013-02-26	5.8	11.3	1.2	194927495	
2013-02-27	9.2	15.3	3.2	181999835	
2013-02-28	10.7	19.4	1.6	169207142	
2013-03-01	7.2	12.9	-0.4	166917488	
2013-03-02	2.1	7.8	-2.3	177228604	
2013-03-03	3.5	9.5	-2.1	162555454	
2013-03-04	5.9	12.6	-0.9	184295732	
2013-03-05	8.5	15.7	0.9	180082545	
2013-03-06	9.9	19	1.2	172352341	
2013-03-07	12.9	17.8	7.4	161137221	
2013-03-08	13.7	22.2	5	151387624	
2013-03-09	17.1	26.9	6.4	130539553	
2013-03-10	10.9	20.9	4.7	115717885	
2013-03-11	7.6	15	0	147003192	
2013-03-12	12.1	19.6	2.8	148076811	
2013-03-13	10.1	16	3.6	151856093	
2013-03-14	6.2	10.6	3.7	164768608	
2013-03-15	9	16.4	2.1	160159119	
2013-03-16	11.5	19.1	6	142597997	
2013-03-17	11.3	20.4	3.2	123365760	
2013-03-18	13.5	20	9.3	134222309	
2013-03-19	14.6	21.3	7.7	134284702	
2013-03-20	9.2	15.2	0.5	146925179	
2013-03-21	5	12.5	-2	162923870	
2013-03-22	8.2	13.8	2.6	158088121	
2013-03-23	9.8	16.5	4.2	143368616	
2013-03-24	10.2	16	5.5	125916783	
2013-03-25	7.1	12.2	3.2	152477091	
2013-03-26	8.1	16.1	0	156073472	
2013-03-27	12.8	19.9	4.4	144700717	
2013-03-28	15	21.8	9.3	135095808	
2013-03-29	10.6	16.3	6.7	138021406	
2013-03-30	9.5	15.3	3.8	133433929	
2013-03-31	9.8	16.1	6.6	117667207	
2013-04-01	11.2	19.6	3.4	136327512	
2013-04-02	10.2	18.6	7.1	143472646	
2013-04-03	13.9	21.8	7.3	136796309	
2013-04-04	14.6	21.9	10.5	130088909	
2013-04-05	14.6	21.3	6.9	124921310	
2013-04-06	10.8	13.8	4.8	128469989	
2013-04-07	7	12	4.2	123221181	
2013-04-08	11.2	19	3	137362175	
2013-04-09	10.5	15.4	6.6	145017993	
2013-04-10	6.9	10.9	3.7	154996735	
